light drizzle
heavy drizzle
light rain
heavy rain
light snow
heavy snow
light hail
heavy hail
light mist
heavy mist
light fog
heavy fog
light smoke
heavy smoke
light volcanic ash
heavy volcanic ash
light sand
heavy sand
light haze
heavy haze
light spray
heavy spray
light sandstorm
heavy sandstorm
light blowing snow
heavy blowing snow
light blowing sand
heavy blowing sand
light rain showers
heavy rain showers
light snow showers
heavy snow showers
light thunderstorm
heavy thunderstorm
light freezing rain
heavy freezing rain
patches of fog
overcast
clear
partly cloudy
mostly cloudy
funnel cloud
blizzard
